SLUG,PRODUCT,DESCRIPTION,SUPPLIER,STYLE,BLACK,WHITE,MONUMENT,CREAM,CUSTOM,POLISHED_STAINLESS_STEEL,SATIN_STAINLESS_STEEL,MATT_BLACK,PEARL_WHITE_GLOSS,SURFMIST_MATT,DUNE_SATIN,BASALT_SATIN,WOODLAND_GREY_MATT,MONUMENT_MATT,BLACK_SATIN,KWILA_TEXTURED,WESTERN_RED_CEDAR
panel_options+even+1000,Panel - 1000H,BARR Panel - 1000H x 1733W,JG,barr,FS-BR-PANEL-1733-1000-B-GO,FS-BR-PANEL-1733-1000-W-GO,,,,,,,,,,,,,,,
panel_options+even+1200,Panel - 1200H,BARR Panel - 1200H x 2205W,JG,barr,FS-BR-PANEL-2205-1200-B-GO,FS-BR-PANEL-2205-1200-W-GO,,,,,,,,,,,,,,,
panel_options+even+1800,Panel - 1800H,BARR Panel 1800H x 1969W,JG,barr,BR-PANEL-1969-1800-B,BR-PANEL-1969-1800-W,,,,,,,,,,,,,,,
panel_options+full+1000,Panel - 1000H,BARR Panel - 1000H x 1733W,JG,barr,FS-BR-PANEL-1733-1000-B-GO,FS-BR-PANEL-1733-1000-W-GO,,,,,,,,,,,,,,,
panel_options+full+1200,Panel - 1200H,BARR Panel - 1200H x 2205W,JG,barr,FS-BR-PANEL-2205-1200-B-GO,FS-BR-PANEL-2205-1200-W-GO,,,,,,,,,,,,,,,
panel_options+full+1800,Panel - 1800H,BARR Panel 1800H x 1969W,JG,barr,BR-PANEL-1969-1800-B,BR-PANEL-1969-1800-W,,,,,,,,,,,,,,,
gate+1000,Gate - 1000H,BARR Gate - 1000H x 975W,JG,barr,,,,,,,,,,,,,,,,,
gate+1200,Gate - 1200H,BARR Gate - 1200H x 975W,JG,barr,BR-GATE-0975-1200-B,BR-GATE-0975-1200-W,,,,,,,,,,,,,,,
gate+1800,Gate - 1800H,BARR Gate - 1800H x 975W,JG,barr,BR-GATE-0975-1800-B,BR-GATE-0975-1800-W,,,,,,,,,,,,,,,
gate+converter+1000,Gate Converter - 1000H,BARR Gate Converter - 1000H,JG,barr,FS-BR-1000-GC-2PK-B-GO,FS-BR-1000-GC-2PK-W -GO,,,,,,,,,,,,,,,
gate+converter+1200,Gate Converter - 1200H,BARR Gate Converter - 1200H,JG,barr,BR-1200-GC-2PK-B,BR-1200-GC-2PK-W,,,,,,,,,,,,,,,
gate+converter+1800,Gate Converter - 1800H,BARR Gate Converter - 1800H,JG,barr,BR-1800-GC-2PK-B,BR-1800-GC-2PK-W,,,,,,,,,,,,,,,
panel_post+opt-1+1000,Post 50x25 - 1280L,PoolSafe Post 1280Lase Plated,JG,barr,BARR-PO-1280L-BP-B-GO,BARR-PO-1280L-BP-W-GO,,,,,,,,,,,,,,,
panel_post+opt-2+1000,Post 50x25 - 1800L,PoolSafe Post 1800L - Cemented In,JG,barr,BARR-PO-1800L-B-GO,BARR-PO-1800L-W-GO,,,,,,,,,,,,,,,
panel_post+opt-1+1200,Post 50x25 - 1280L,PoolSafe Post 1280Lase Plated,JG,barr,BARR-PO-1280L-BP-B-GO,BARR-PO-1280L-BP-W-GO,,,,,,,,,,,,,,,
panel_post+opt-2+1200,Post 50x25 - 1800L,PoolSafe Post 1800L - Cemented In,JG,barr,BARR-PO-1800L-B-GO,BARR-PO-1800L-W-GO,,,,,,,,,,,,,,,
panel_post+opt-1+1800,Post 50x25 - 2400L,PoolSafe Post 2400Lase Plated,JG,barr,PO-2400-BPC-B-GO,PO-2400-BPC-B-GO,,,,,,,,,,,,,,,
panel_post+opt-2+1800,Post 50x25 - 2500L,PoolSafe Post 2500L - Cemented In,JG,barr,BARR-PO-2500L-B-GO,BARR-PO-2500L-W-GO,,,,,,,,,,,,,,,
panel_post_corner+opt-1+1000,Post 50x50 - 1280L,PoolSafe Post 1280Lase Plated,JG,barr,FS-BR-1280-BP-B-GO,FS-BR-1280-BP-W -GO,,,,,,,,,,,,,,,
panel_post_corner+opt-2+1000,Post 50x50 - 1800L,PoolSafe Post 1800L - Cemented In,JG,barr,XP-1800-FP-B,XP-1800-FP-W,,,,,,,,,,,,,,,
panel_post_corner+opt-1+1200,Post 50x50 - 1280L,PoolSafe Post 1280Lase Plated,JG,barr,FS-BR-1280-BP-B-GO,FS-BR-1280-BP-W -GO,,,,,,,,,,,,,,,
panel_post_corner+opt-2+1200,Post 50x50 - 1800L,PoolSafe Post 1800L - Cemented In,JG,barr,XP-1800-FP-B,XP-1800-FP-W,,,,,,,,,,,,,,,
panel_post_corner+opt-1+1800,Post 50x50 - 2400L,PoolSafe Post 2400Lase Plated,JG,barr,XP-2400-FP-B,XP-2400-FP-W,,,,,,,,,,,,,,,
panel_post_corner+opt-2+1800,Post 50x50 - 2500L,PoolSafe Post 2500L - Cemented In,JG,barr,FS-BR-2500-B-GO,FS-BR-2500-W -GO,,,,,,,,,,,,,,,
panel_options+bracket,Bracket - F Type,BARR Brackets x4 F Type,JG,barr,BARR-BRFx4-B-GO,BARR-BRFx4-W-GO,,,,,,,,,,,,,,,
gate+kit,Kit,D&D Magna Latch & Hinge Kit,JG,barr,KIT-HL-MTP-HD-B-GO,KIT-HL-MTP-HD-W-GO,,,,,,,,,,,,,,,
base_plate+dynabolts,Fasteners,FastFixings - TekScrews 12G 100 Pack,JG,barr,FFX-TEK-12G-20-100PK-B-GO,FFX-TEK-12G-20-100PK-W-GO,,,,,,,,,,,,,,,
base_plate+post_cover,Post Cover 50x25,BARR Post Covers - 2 Piece,JG,barr,BARR-PO-COV-2P-B-GO,BARR-PO-COV-2P-W-GO,,,,,,,,,,,,,,,
base_plate+post_cover_corner,Post Cover 50x50,BARR Post Covers - 2 Piece,JG,barr,PO-COV-2P-B-JG,PO-COV-2P-W-JG,,,,,,,,,,,,,,,
gate+kit,Kit,D&D Tru Close - HEAVY DUTY HINGE SET,JG,barr,HIN-HD-ASC-B-GO,HIN-HD-ASC-W-GO,,,,,,,,,,,,,,,
gate+latch,Latch,D&D Magna Latch - TOP PULL LATCH,JG,barr,LAT-MTP-B-GO,LAT-MTP-W-GO,,,,,,,,,,,,,,,
panel_options+even+1000,Panel - 1000H,BARR Panel - 1000H x 1733W,GO,barr,FS-BR-PANEL-1733-1000-B-GO,FS-BR-PANEL-1733-1000-W-GO,,,,,,,,,,,,,,,
panel_options+even+1200,Panel - 1200H,BARR Panel - 1200H x 2205W,GO,barr,FS-BR-PANEL-2205-1200-B-GO,FS-BR-PANEL-2205-1200-W-GO,,,,,,,,,,,,,,,
panel_options+even+1800,Panel - 1800H,BARR Panel 1800H x 1969W,GO,barr,BR-PANEL-1969-1800-B,BR-PANEL-1969-1800-W,,,,,,,,,,,,,,,
panel_options+full+1000,Panel - 1000H,BARR Panel - 1000H x 1733W,GO,barr,FS-BR-PANEL-1733-1000-B-GO,FS-BR-PANEL-1733-1000-W-GO,,,,,,,,,,,,,,,
panel_options+full+1200,Panel - 1200H,BARR Panel - 1200H x 2205W,GO,barr,FS-BR-PANEL-2205-1200-B-GO,FS-BR-PANEL-2205-1200-W-GO,,,,,,,,,,,,,,,
panel_options+full+1800,Panel - 1800H,BARR Panel 1800H x 1969W,GO,barr,BR-PANEL-1969-1800-B,BR-PANEL-1969-1800-W,,,,,,,,,,,,,,,
gate+1000,Gate - 1000H,BARR Gate - 1000H x 975W,GO,barr,,,,,,,,,,,,,,,,,
gate+1200,Gate - 1200H,BARR Gate - 1200H x 975W,GO,barr,BR-GATE-0975-1200-B,BR-GATE-0975-1200-W,,,,,,,,,,,,,,,
gate+1800,Gate - 1800H,BARR Gate - 1800H x 975W,GO,barr,BR-GATE-0975-1800-B,BR-GATE-0975-1800-W,,,,,,,,,,,,,,,
gate+converter+1000,Gate Converter - 1000H,BARR Gate Converter - 1000H,GO,barr,FS-BR-1000-GC-2PK-B-GO,FS-BR-1000-GC-2PK-W -GO,,,,,,,,,,,,,,,
gate+converter+1200,Gate Converter - 1200H,BARR Gate Converter - 1200H,GO,barr,BR-1200-GC-2PK-B,BR-1200-GC-2PK-W,,,,,,,,,,,,,,,
gate+converter+1800,Gate Converter - 1800H,BARR Gate Converter - 1800H,GO,barr,BR-1800-GC-2PK-B,BR-1800-GC-2PK-W,,,,,,,,,,,,,,,
panel_post+opt-1+1000,Post 50x25 - 1280L,PoolSafe Post 1280Lase Plated,GO,barr,BARR-PO-1280L-BP-B-GO,BARR-PO-1280L-BP-W-GO,,,,,,,,,,,,,,,
panel_post+opt-2+1000,Post 50x25 - 1800L,PoolSafe Post 1800L - Cemented In,GO,barr,BARR-PO-1800L-B-GO,BARR-PO-1800L-W-GO,,,,,,,,,,,,,,,
panel_post+opt-1+1200,Post 50x25 - 1280L,PoolSafe Post 1280Lase Plated,GO,barr,BARR-PO-1280L-BP-B-GO,BARR-PO-1280L-BP-W-GO,,,,,,,,,,,,,,,
panel_post+opt-2+1200,Post 50x25 - 1800L,PoolSafe Post 1800L - Cemented In,GO,barr,BARR-PO-1800L-B-GO,BARR-PO-1800L-W-GO,,,,,,,,,,,,,,,
panel_post+opt-1+1800,Post 50x25 - 2400L,PoolSafe Post 2400Lase Plated,GO,barr,PO-2400-BPC-B-GO,PO-2400-BPC-B-GO,,,,,,,,,,,,,,,
panel_post+opt-2+1800,Post 50x25 - 2500L,PoolSafe Post 2500L - Cemented In,GO,barr,BARR-PO-2500L-B-GO,BARR-PO-2500L-W-GO,,,,,,,,,,,,,,,
panel_post_corner+opt-1+1000,Post 50x50 - 1280L,PoolSafe Post 1280Lase Plated,GO,barr,FS-BR-1280-BP-B-GO,FS-BR-1280-BP-W -GO,,,,,,,,,,,,,,,
panel_post_corner+opt-2+1000,Post 50x50 - 1800L,PoolSafe Post 1800L - Cemented In,GO,barr,XP-1800-FP-B,XP-1800-FP-W,,,,,,,,,,,,,,,
panel_post_corner+opt-1+1200,Post 50x50 - 1280L,PoolSafe Post 1280Lase Plated,GO,barr,FS-BR-1280-BP-B-GO,FS-BR-1280-BP-W -GO,,,,,,,,,,,,,,,
panel_post_corner+opt-2+1200,Post 50x50 - 1800L,PoolSafe Post 1800L - Cemented In,GO,barr,XP-1800-FP-B,XP-1800-FP-W,,,,,,,,,,,,,,,
panel_post_corner+opt-1+1800,Post 50x50 - 2400L,PoolSafe Post 2400Lase Plated,GO,barr,XP-2400-FP-B,XP-2400-FP-W,,,,,,,,,,,,,,,
panel_post_corner+opt-2+1800,Post 50x50 - 2500L,PoolSafe Post 2500L - Cemented In,GO,barr,FS-BR-2500-B-GO,FS-BR-2500-W -GO,,,,,,,,,,,,,,,
panel_options+bracket,Bracket - F Type,BARR Brackets x4 F Type,GO,barr,BARR-BRFx4-B-GO,BARR-BRFx4-W-GO,,,,,,,,,,,,,,,
gate+kit,Kit,D&D Magna Latch & Hinge Kit,GO,barr,KIT-HL-MTP-HD-B-GO,KIT-HL-MTP-HD-W-GO,,,,,,,,,,,,,,,
base_plate+dynabolts,Fasteners,FastFixings - TekScrews 12G 100 Pack,GO,barr,FFX-TEK-12G-20-100PK-B-GO,FFX-TEK-12G-20-100PK-W-GO,,,,,,,,,,,,,,,
base_plate+post_cover,Post Cover 50x25,BARR Post Covers - 2 Piece,GO,barr,BARR-PO-COV-2P-B-GO,BARR-PO-COV-2P-W-GO,,,,,,,,,,,,,,,
base_plate+post_cover_corner,Post Cover 50x50,BARR Post Covers - 2 Piece,GO,barr,PO-COV-2P-B-GO,PO-COV-2P-W-GO,,,,,,,,,,,,,,,
gate+kit,Kit,D&D Tru Close - HEAVY DUTY HINGE SET,GO,barr,HIN-HD-ASC-B-GO,HIN-HD-ASC-W-GO,,,,,,,,,,,,,,,
gate+latch,Latch,D&D Magna Latch - TOP PULL LATCH,GO,barr,LAT-MTP-B-GO,LAT-MTP-W-GO,,,,,,,,,,,,,,,
panel_options+1200x200,1200H - 200,Panel,GO,glass_pool,,,,,,C12N-0200,C12N-0200,C12N-0200,,,,,,,,,
panel_options+1200x250,1200H - 250,Panel,GO,glass_pool,,,,,,C12N-0250,C12N-0250,C12N-0250,,,,,,,,,
panel_options+1200x300,1200H - 300,Panel,GO,glass_pool,,,,,,C12N-0300,C12N-0300,C12N-0300,,,,,,,,,
panel_options+1200x350,1200H - 350,Panel,GO,glass_pool,,,,,,C12N-0350,C12N-0350,C12N-0350,,,,,,,,,
panel_options+1200x400,1200H - 400,Panel,GO,glass_pool,,,,,,C12N-0400,C12N-0400,C12N-0400,,,,,,,,,
panel_options+1200x450,1200H - 450,Panel,GO,glass_pool,,,,,,C12N-0450,C12N-0450,C12N-0450,,,,,,,,,
panel_options+1200x500,1200H - 500,Panel,GO,glass_pool,,,,,,C12N-0500,C12N-0500,C12N-0500,,,,,,,,,
panel_options+1200x550,1200H - 550,Panel,GO,glass_pool,,,,,,C12N-0550,C12N-0550,C12N-0550,,,,,,,,,
panel_options+1200x600,1200H - 600,Panel,GO,glass_pool,,,,,,C12N-0600,C12N-0600,C12N-0600,,,,,,,,,
panel_options+1200x650,1200H - 650,Panel,GO,glass_pool,,,,,,C12N-0650,C12N-0650,C12N-0650,,,,,,,,,
panel_options+1200x700,1200H - 700,Panel,GO,glass_pool,,,,,,C12N-0700,C12N-0700,C12N-0700,,,,,,,,,
panel_options+1200x750,1200H - 750,Panel,GO,glass_pool,,,,,,C12N-0750,C12N-0750,C12N-0750,,,,,,,,,
panel_options+1200x800,1200H - 800,Panel,GO,glass_pool,,,,,,C12N-0800,C12N-0800,C12N-0800,,,,,,,,,
panel_options+1200x850,1200H - 850,Panel,GO,glass_pool,,,,,,C12N-0850,C12N-0850,C12N-0850,,,,,,,,,
panel_options+1200x900,1200H - 900,Panel,GO,glass_pool,,,,,,C12N-0900,C12N-0900,C12N-0900,,,,,,,,,
panel_options+1200x950,1200H - 950,Panel,GO,glass_pool,,,,,,C12N-0950,C12N-0950,C12N-0950,,,,,,,,,
panel_options+1200x1000,1200H - 1000,Panel,GO,glass_pool,,,,,,C12N-1000,C12N-1000,C12N-1000,,,,,,,,,
panel_options+1200x1050,1200H - 1050,Panel,GO,glass_pool,,,,,,C12N-1050,C12N-1050,C12N-1050,,,,,,,,,
panel_options+1200x1100,1200H - 1100,Panel,GO,glass_pool,,,,,,C12N-1100,C12N-1100,C12N-1100,,,,,,,,,
